web-scraper-order,web-scraper-start-url,imageUrl-src,title,ratingAndTime,category,area
"1738075745-16","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/zvvosi8aw7mujogghnqk","Dum Safar Biryani","4.1 • 30-35 mins","Biryani, Kebabs, Tandoor, Indian, Desserts","Hinjawadi"
"1738075745-17","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/4/f70846c1-eec9-4813-a41a-38dd18c9009a_1020569.jpg","ITC Aashirvaad Soul Creations","4.6 • 25-30 mins","North Indian, pure veg, Healthy Food, Home Food","Hinjewadi"
"1738075745-18","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/dwa7qtycvyioxnswru3l","Amul Restaurant","4.3 • 20-25 mins","North Indian","Wakad"
"1738075745-19","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/fe1105370c3c8d19a40ef154cf6885c7","Sheetal Pure Veg","4.1 • 25-30 mins","North Indian, Chinese, Mexican, Beverages, Fast Food","Wakad"
"1738075745-20","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ytwo1n5zaa7nplsnsryl","Reddy's Biryani Zone","4.1 • 15-20 mins","Biryani, Mughlai, North Indian","Hinjawadi"
"1738075745-21","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/rmiherznvj9bvjamehdz","Siilver Spoon","4.2 • 25-30 mins","Mughlai, Chinese, Seafood","Wakad"
"1738075745-22","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/30/283e0cc9-3c26-4bfb-abcb-3683bf5c02ad_777334.jpg","Central Khichdi","4.3 • 20-25 mins","North Indian, Indian, Snacks, Beverages","Hinjewadi"
"1738075745-23","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/91afd7c438fcf1a3b55b97c2fbaa1cfa","Radha Krishna Pure Veg(Hinjewadi)","4.2 • 25-30 mins","North Indian, Chinese, Punjabi, Snacks","Hinjawadi"
"1738075745-24","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/9/24/442b3409-3015-4ede-9f7b-71b4c10a916f_9174.jpg","Varuna Pure Veg","4.1 • 25-30 mins","North Indian, Chinese, Punjabi, Combos, Tandoor","Wakad"
"1738075745-25","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/horyybfphjdogcxxs6i1","Ambrosios","4.3 • 30-35 mins","Indian, Punjabi, Thalis","Hinjawadi"
"1738075745-26","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/11/8/9b64bc63-4b70-472e-b4e7-0c1f8c2cf88f_491974.jpg","NH1 Bowls - Highway To North","4.6 • 20-30 mins","North Indian, Punjabi, Home Food","Mulshi Road"
"1738075745-27","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/9/17/d309d3a0-b06d-4071-841d-a6686881958c_491975.jpg","ZAZA Mughal Biryani","4.2 • 20-30 mins","Biryani, North Indian, Awadhi","Hinjawadi"
"1738075745-28","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/11/29/825f87b8-53db-4188-b4c8-6020620c20c1_999337.jpg","Choudhary Dhaba","4.3 • 20-25 mins","Indian","Hinjewadi"
"1738075745-29","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ltp4hc4i2do80c044e7u","CHINESESTORY","4.2 • 25-30 mins","Chinese, Beverages, Snacks, Fast Food, Indian","Hinjawadi"
"1738075745-30","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b6fb5a0d41200a54b88be85c7d28185b","The King Shawarma","4.1 • 20-25 mins","Fast Food","Hinjewadi"
"1738075745-31","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ith71kpmdm4ack9ivtrk","Mezza 9","4.5 • 25-30 mins","Indian","Hinjewadi"
"1738075745-32","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/2/e1363e31-82e6-42da-a376-a72c42c9018f_898020.jpg","Theobroma","4.5 • 25-30 mins","Bakery, Desserts, Beverages","RAVET PIMPRI CHINCHWAD"
"1738075745-33","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/4/12/cb5605dd-c16d-4fd0-bc77-7000cc6575ca_632674.jpg","Bakingo","4.5 • 25-30 mins","Burgers, Fast Food","Hinjawadi"
"1738075745-34","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/11/22/257e41d8-ebe0-4a97-908c-b513917a4cd3_64066.jpg","NIC Ice Creams","4.7 • 25-30 mins","Ice Cream, Desserts","Hinjawadi"
"1738075745-35","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/28/6f232080-de14-4b6f-aead-68429ac63951_261405.JPG","Faasos - Wraps, Rolls & Shawarma","4.3 • 25-30 mins","Kebabs, Fast Food, Snacks, American, Healthy Food, Desserts, Beverages","Hinjawadi"
"1738075745-36","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/17/a5766096-af33-4557-9b07-ccc55d1c9494_759076.JPG","The Belgian Waffle Co.","4.7 • 25-30 mins","Waffle, Desserts, Ice Cream","HINJEWADI"
"1738075745-37","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/qhfw858zccsx8kph6tch","La Pino'z Pizza","4 • 25-30 mins","Pizzas, Pastas, Italian, Desserts, Beverages","Hinjewadi"
"1738075745-38","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/3/34218366-e9d8-4464-87e1-3375abe61a12_747329.JPG","Wow! Momo","4.2 • 30-35 mins","Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages","Hinjewadi"
"1738075745-39","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/3/72da956f-18bc-465a-9334-5ff84e5fcf37_1017540.JPG","Natural Ice Cream","4.8 • 20-25 mins","Ice Cream, Desserts","Pristine Palazzo"
"1738075745-40","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/11/6/d8ec60a3-5dfc-4405-b9da-eb23354c371c_986525.jpg","Great Indian Khichdi by EatFit","4.2 • 25-30 mins","Indian, Home Food, Healthy Food, Snacks","Ravet"
"1738075745-41","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/4/28/bcb6b4ba-7597-40ca-9f83-db34e299fdea_877626.JPG","Punjabi Paneer","30-35 mins","Desserts, Indian, Beverages","Wakad"
"1738075745-42","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/11/13/911fbdbf-fff2-47b4-8e5f-1dfb3ec1b6e6_990137.jpg","Nikki's Kitchen","25-30 mins","Chinese, Thalis, North Indian","Hinjewadi"
"1738075745-43","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/aglcehjrj0i1iunwlztt","Hotel Maharaja","4.1 • 30-35 mins","North Indian, Maharashtrian, Biryani, Chinese","Hinjawadi"
"1738075745-44","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/unpherk4jsyy38xl5s0z","Thali Joy","4.2 • 20-25 mins","North Indian, Thalis","Hinjawadi"
"1738075745-45","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/53aa76734ecf3ab065ba3d65957cee0c","Ramdev Pure Veg","3.8 • 20-25 mins","Indian","Hinjewadi"
"1738075745-46","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/p4ccyziigdkgs4royptg","Ancient Andhra","4.2 • 20-25 mins","Biryani, Hyderabadi, Mughlai, North Indian, Andhra","Hinjewadi"
