web-scraper-order,web-scraper-start-url,imageUrl-src,title,ratingAndTime,category,area
"1738075745-66","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/24/c5bbd782-00ef-45a8-aae7-ed1f86cee653_692221.JPG","BOOM - Sub Style Sandwiches","4.4 • 20-30 mins","Snacks, Indian, Desserts","Mulshi Road"
"1738075745-67","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/28/04968076-c09c-464e-90e2-e0dd29ea1dfa_681358.JPG","GLOBO Ice Creams Of The World","4.5 • 20-30 mins","Ice Cream, Desserts, Bakery","Mulshi Road"
"1738075745-68","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/10/23/d337f3bc-ab96-4898-bb51-6f6b1914f8d7_977660.jpg","The Ghee Khichdi Project","4.3 • 20-30 mins","North Indian","Mulshi Road"
"1738075745-69","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/25/f812d511-e9c6-4710-8a1b-b2bd15679a19_887747 SS.jpg","Ghar Ka Khana","4.4 • 30-35 mins","Indian, Thalis","Hinjewadi"
"1738075745-70","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/24/0d125f0f-1c6b-4573-b2cf-c71d31526452_740516.JPG","Hola Pasta - Fresh Gourmet Pasta","3.9 • 20-30 mins","Pastas, Italian, Desserts, Beverages","Mulshi Road"
"1738075745-71","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/3/53de3d6a-8915-47a8-97af-8556430e481c_920272.JPG","Wagh Bakri Tea Lounge","4.1 • 20-25 mins","Cafe","Wakad"
"1738075745-72","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/f123fb0a765f16e963ed5db876917927","Shaukeen - The Complete Paan Shop","4.8 • 20-25 mins","Paan","Hinjewadi"
"1738075745-73","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/2a8f2f20a02025f85b9c392cdb2c1e5c","Bombay Chaap Corner","4.5 • 20-25 mins","North Indian","punawale"
"1738075745-74","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/4/16/24074601-0fca-4454-8fbc-6d12027ef713_871226.jpg","Sairat Biryani","4.1 • 20-25 mins","Biryani","punawale"
"1738075745-75","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/pizctuiocdmyzaej2bna","A1 Biryani House","4.1 • 15-20 mins","Biryani, North Indian","Hinjawadi"
"1738075745-76","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/72c26c808a3b4769e7bbdc5be1ac7010","Kannu Ki Chai","4.4 • 25-30 mins","Indian, Pizzas, Rolls & Wraps, Snacks, Bakery, Cakes and Pastries","Hinjewadi"
"1738075745-77","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/qhaffxaoxmbriyztrvdp","Godavari Ruchulu","3.9 • 25-30 mins","Biryani, South Indian, Chinese","Hinjewadi"
"1738075745-78","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/79677bcf85072291c6f2aa13db2aa074","Five Star","3.4 • 20-25 mins","Snacks, Burgers, Rolls & Wraps, Thai","Hinjewadi"
"1738075745-79","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ztyeiussszlsj21gqqox","Meal Box","4.1 • 15-20 mins","North Indian, Thalis","Hinjawadi"
"1738075745-80","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/8/22/eef85474-2540-4061-8c37-6d10bfea95cc_945749.jpg","Tandoori Hut","25-30 mins","Punjabi, Kebabs","Hinjewadi"
"1738075745-81","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/67d17abfeb3a5da6103b9424f6dbe973","Pastas By Pizza Hut","3.6 • 30-35 mins","Pastas","Punawale"
"1738075745-82","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/5f1c0c7b36787d89b63e9743838d4f5c","PVR Cafe","4 • 25-30 mins","Snacks, Fast Food, Beverages","Hinjawadi"
"1738075745-83","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/kwndrpvmia3jyx2ailfk","Biryani Badshah","4.2 • 20-25 mins","Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs","Hinjewadi"
"1738075745-84","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/4ef8c6c6d8e5fc7de3149cef85726e77","Tea Post","4.6 • 20-25 mins","Tea, Coffee, Snacks, Gujarati","Hinjewadi"
"1738075745-85","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/27/75f02191-c4e3-417d-91bb-d25d4934650e_933112.jpg","Desi Tadka","25-30 mins","Biryani","Wakad"
"1738075745-86","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/30/d2ae82d7-acb2-41a5-922f-dab061b534b0_934482.jpg","Khichdi Bar","30-35 mins","Indian, Home Food, Healthy Food, FUSION, North Indian","Marunji"
"1738075745-87","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/10/22/0fd23db2-5d8a-4a10-9599-c2ff8cb268d8_698417.jpg","V Cafe - Meals By PVR","3.9 • 25-30 mins","Pizzas, Snacks, American","Grand High-street Mall"
"1738075745-88","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/af65d7820d53b1fdce6520fed0f1f4fb","Andhra Kodi Pulao","4 • 25-30 mins","Hyderabadi, South Indian, North Indian, Biryani, Andhra, Kebabs, Mughlai","Hinjewadi"
"1738075745-89","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/iugyg1badlxdj8ehdpii","Cafe Durga","3.9 • 30-35 mins","Cafe, Indian, Fast Food, Beverages","Expressway"
"1738075745-90","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/1/2c571681-2f0a-4a2c-a9cd-6115b3973228_918874.jpg","Monginis","4.3 • 15-20 mins","Bakery, Desserts","Hinjewadi"
